Symbol	Description
14D	1414 Degrees Limited
14DO	1414 Degrees Limited
1AD	Adalta Limited
1ADO	Adalta Limited
1AG	Alterra Limited
1AL	Oneall International Limited
1ST	1st Available Ltd
2BE	Tubi Limited
360	Life360 Inc.
3DA	Amaero International Ltd
3DP	Pointerra Limited
3PL	3p Learning Limited..
4CE	Force Commodities Limited
4DS	4ds Memory Limited
5GN	5g Networks Limited
88E	88 Energy Limited
8CO	8common Limited
8COO	8common Limited
8EC	8ip Emerging Companies Limited
8IH	8i Holdings Ltd
8VI	8vic Holdings Limited
9SP	9 Spokes International Limited
A1G	African Gold Limited
A1M	Aic Mines Limited
A200	A200
A2B	A2b Australia Limited
A2M	The A2 Milk Company Limited
A2MKOA	The A2 Milk Company Limited
A2MKOC	The A2 Milk Company Limited
A2MKOG	The A2 Milk Company Limited
A2MKOH	The A2 Milk Company Limited
A2MKOR	The A2 Milk Company Limited
A2MKOT	The A2 Milk Company Limited
A2MKOU	The A2 Milk Company Limited
A3D	Aurora Labs Limited
A3DO	Aurora Labs Limited
A40	Alliance Mineral Assets Limited
A4N	Alpha Hpa Limited
AAA	Betashares Australian High Interest Cash
AAC	Australian Agricultural Company Ltd
AACKOB	Australian Agricultural Company Limited.
AAJ	Aruma Resources Limited
AAP	Australian Agricultural Projects Limited
AAR	Anglo Australian Resources NL
AB1	Animoca Brands Corporation Limited
AB1O	Animoca Brands Corporation Limited
ABA	Auswide Bank Ltd
ABC	Adelaide Brighton Ltd
ABCKOA	Adelaide Brighton Limited
ABCKOC	Adelaide Brighton Limited
ABCKOQ	Adelaide Brighton Limited
ABL	Abilene Oil And Gas Limited
ABP	Abacus Property Group
ABR	American Pacific Borate & Lithium Limited
ABT	Abundant Produce Limited
ABV	Advanced Braking Technology Ltd
ABW	Aurora Buy Write Income Trust
ABX	Abelle Ltd
AC8	Auscann Group Holdings Ltd
ACB	A-Cap Resources Ltd
ACDC	Etfs Battery Tech & Lithium
ACF	Acumen Capital Property Securities Fund
ACP	Audalia Resources Limited
ACQ	Acorn Capital Investment Fund Limited
ACR	Acrux Ltd
ACS	Accent Resources NL
ACW	Actinogen Ltd
AD1	Applydirect Limited
AD8	Audinate Group Limited
ADA	Adacel Technologies Ltd
ADD	Adavale Resources Ltd
ADH	Adairs Limited
ADI	Adelphi Energy Ltd
ADJ	Adslot Ltd
ADN	Adelaide Resources Ltd
ADNOB	Andromeda Metals Limited
ADO	
ADOO	Anteo Diagnostics Limited
ADR	Adherium Limited
ADT	Advent Ltd
ADV	Australian Development Capital Fund
ADX	Audax Resources Ltd
ADXOB	Adx Energy Ltd
ADY	Admiralty Resources NL
AEB	Algae.tec Limited
AEBO	Algae.tec Limited
AEE	Aura Energy Ltd
AEF	Australian Ethical Investments Ltd
AEG	Absolute Equity Performance Fund Limited
AEI	Aeris Technologies Ltd
AER	Aeeris Ltd
AEV	Avenira Limited
AFA	ASF Group Ltd
AFG	Allco Finance Group Ltd
AFI	Australian Foundation Invest Ltd
AFL	Australian Pure Fruits Ltd
AFP	Aft Pharmaceuticals Limited
AFR	African Energy Resources (Guernsey) Ltd
AFT	AFT Corporation Ltd
AGD	Austral Gold Ltd
AGE	Alligator Energy Limited
AGG	Anglogold Ashanti Ltd (Sth Afr CUFS)
AGH	Australian Growth Properties
AGI	Ainsworth Game Technology Ltd
AGJ	Agricultural Land Trust
AGL	AGL Energy Limited
AGLBOA	Agl Energy Limited.
AGLKOC	Agl Energy Limited.
AGLKOD	Agl Energy Limited.
AGLKOF	Agl Energy Limited.
AGLKOQ	Agl Energy Limited.
AGLKOR	Agl Energy Limited.
AGLKOS	Agl Energy Limited.
AGM	Allegiance Mining NL
AGR	Aguia Resources Limited
AGS	Alliance Resources Ltd
AGVT	AGVT
AGX1	AGX1
AGY	Argosy Minerals Inc (CUFS)
AGYO	Argosy Minerals Limited
AHF	Australian Dairy Farms Group
AHK	Ark Mines Limited
AHL	Ahalife Holdings Limited
AHN	Athena Resources Ltd
AHQ	Allegiance Coal Limited
AHX	Apiam Animal Health Limited
AHY	Asaleo Care Limited
AHZ	Allied Healthcare Group Ltd
AHZO	Admedus Ltd
AIA	Auckland International Airport Ltd
AIB	Aurora Infrastructure Buy Write Income Trust
AIQ	Alternative Investment Trust
AIR	Astivita Renewables Limited
AIS	Automotive Industrial & Mining Supplies
AIV	Activex Ltd
