Symbol	Description
A6	Australian Dollar
A6.C	Australian Dollar Continuation
A6F20	Australian Dollar {Jan 20}
A6G20	Australian Dollar {Feb 20}
A6H20	Australian Dollar {Mar 20}
A6H21	Australian Dollar {Mar 21}
A6H22	Australian Dollar {Mar 22}
A6H23	Australian Dollar {Mar 23}
A6H24	Australian Dollar {Mar 24}
A6J20	Australian Dollar {Apr 20}
A6K20	Australian Dollar {May 20}
A6M20	Australian Dollar {Jun 20}
A6M21	Australian Dollar {Jun 21}
A6M22	Australian Dollar {Jun 22}
A6M23	Australian Dollar {Jun 23}
A6M24	Australian Dollar {Jun 24}
A6U20	Australian Dollar {Sep 20}
A6U21	Australian Dollar {Sep 21}
A6U22	Australian Dollar {Sep 22}
A6U23	Australian Dollar {Sep 23}
A6U24	Australian Dollar {Sep 24}
A6Z20	Australian Dollar {Dec 20}
A6Z21	Australian Dollar {Dec 21}
A6Z22	Australian Dollar {Dec 22}
A6Z23	Australian Dollar {Dec 23}
A6Z24	Australian Dollar {Dec 24}
AD	Australian Dollar(P)
AD.C	Australian Dollar(P) Continuation
ADF20	Australian Dollar(P) {Jan 20}
ADG20	Australian Dollar(P) {Feb 20}
ADH20	Australian Dollar(P) {Mar 20}
ADH21	Australian Dollar(P) {Mar 21}
ADH22	Australian Dollar(P) {Mar 22}
ADH23	Australian Dollar(P) {Mar 23}
ADH24	Australian Dollar(P) {Mar 24}
ADJ20	Australian Dollar(P) {Apr 20}
ADK20	Australian Dollar(P) {May 20}
ADM20	Australian Dollar(P) {Jun 20}
ADM21	Australian Dollar(P) {Jun 21}
ADM22	Australian Dollar(P) {Jun 22}
ADM23	Australian Dollar(P) {Jun 23}
ADM24	Australian Dollar(P) {Jun 24}
ADU20	Australian Dollar(P) {Sep 20}
ADU21	Australian Dollar(P) {Sep 21}
ADU22	Australian Dollar(P) {Sep 22}
ADU23	Australian Dollar(P) {Sep 23}
ADU24	Australian Dollar(P) {Sep 24}
ADZ20	Australian Dollar(P) {Dec 20}
ADZ21	Australian Dollar(P) {Dec 21}
ADZ22	Australian Dollar(P) {Dec 22}
ADZ23	Australian Dollar(P) {Dec 23}
ADZ24	Australian Dollar(P) {Dec 24}
B6	British Pound
B6.C	British Pound Continuation
B6F20	British Pound {Jan 20}
B6G20	British Pound {Feb 20}
B6H20	British Pound {Mar 20}
B6H21	British Pound {Mar 21}
B6H22	British Pound {Mar 22}
B6H23	British Pound {Mar 23}
B6H24	British Pound {Mar 24}
B6J20	British Pound {Apr 20}
B6K20	British Pound {May 20}
B6M20	British Pound {Jun 20}
B6M21	British Pound {Jun 21}
B6M22	British Pound {Jun 22}
B6M23	British Pound {Jun 23}
B6M24	British Pound {Jun 24}
B6U20	British Pound {Sep 20}
B6U21	British Pound {Sep 21}
B6U22	British Pound {Sep 22}
B6U23	British Pound {Sep 23}
B6U24	British Pound {Sep 24}
B6Z20	British Pound {Dec 20}
B6Z21	British Pound {Dec 21}
B6Z22	British Pound {Dec 22}
B6Z23	British Pound {Dec 23}
B6Z24	British Pound {Dec 24}
BB.C	S&P 500 Comm Srvs Continuation
BBH20	S&P 500 Comm Srvs {Mar 20}
BBH21	S&P 500 Comm Srvs {Mar 21}
BBM20	S&P 500 Comm Srvs {Jun 20}
BBU20	S&P 500 Comm Srvs {Sep 20}
BBZ20	S&P 500 Comm Srvs {Dec 20}
BD	Butter Cash-Settled
BD.C	Butter Cash-Settled Continuation
BDF20	Butter Cash-Settled {Jan 20}
BDF21	Butter Cash-Settled {Jan 21}
BDG20	Butter Cash-Settled {Feb 20}
BDG21	Butter Cash-Settled {Feb 21}
BDH20	Butter Cash-Settled {Mar 20}
BDH21	Butter Cash-Settled {Mar 21}
BDJ20	Butter Cash-Settled {Apr 20}
BDJ21	Butter Cash-Settled {Apr 21}
BDK20	Butter Cash-Settled {May 20}
BDK21	Butter Cash-Settled {May 21}
BDM20	Butter Cash-Settled {Jun 20}
BDM21	Butter Cash-Settled {Jun 21}
BDN20	Butter Cash-Settled {Jul 20}
BDN21	Butter Cash-Settled {Jul 21}
BDQ20	Butter Cash-Settled {Aug 20}
BDQ21	Butter Cash-Settled {Aug 21}
BDU20	Butter Cash-Settled {Sep 20}
BDU21	Butter Cash-Settled {Sep 21}
BDV20	Butter Cash-Settled {Oct 20}
BDV21	Butter Cash-Settled {Oct 21}
BDX20	Butter Cash-Settled {Nov 20}
BDX21	Butter Cash-Settled {Nov 21}
BDZ19	Butter Cash-Settled {Dec 19}
BDZ20	Butter Cash-Settled {Dec 20}
BDZ21	Butter Cash-Settled {Dec 21}
BG.C	Cheese Block Continuation
BGF21	Cheese Block {Jan 21}
BGF22	Cheese Block {Jan 22}
