Symbol	Description
A5	ATX Index
A5.C	ATX Index Continuation
A5H20	ATX Index {Mar 20}
A5M20	ATX Index {Jun 20}
A5U20	ATX Index {Sep 20}
AC.C	MSCI World Index Continuation
ACH20	MSCI World Index {Mar 20}
ACH21	MSCI World Index {Mar 21}
ACH22	MSCI World Index {Mar 22}
ACM20	MSCI World Index {Jun 20}
ACM21	MSCI World Index {Jun 21}
ACM22	MSCI World Index {Jun 22}
ACU20	MSCI World Index {Sep 20}
ACU21	MSCI World Index {Sep 21}
ACU22	MSCI World Index {Sep 22}
ACZ20	MSCI World Index {Dec 20}
ACZ21	MSCI World Index {Dec 21}
ACZ22	MSCI World Index {Dec 22}
AI.C	DivDAX Futures Continuation
AIH20	DivDAX Futures {Mar 20}
AIM20	DivDAX Futures {Jun 20}
AIU20	DivDAX Futures {Sep 20}
AQ.C	Stoxx Dividend 30 Continuation
AQH20	Stoxx Dividend 30 {Mar 20}
AQM20	Stoxx Dividend 30 {Jun 20}
AQU20	Stoxx Dividend 30 {Sep 20}
C1.C	Euro Stoxx Chemicals Continuation
C1H20	Euro Stoxx Chemicals {Mar 20}
C1M20	Euro Stoxx Chemicals {Jun 20}
C1U20	Euro Stoxx Chemicals {Sep 20}
CF.C	Eurex Conf 10-Year Continuation
CFH20	Eurex Conf 10-Year {Mar 20}
CFM20	Eurex Conf 10-Year {Jun 20}
CFU20	Eurex Conf 10-Year {Sep 20}
D0.C	IPD UK Property Idx Continuation
D0H20	IPD UK Property Idx {Mar 20}
D0M20	IPD UK Property Idx {Jun 20}
D0U20	IPD UK Property Idx {Sep 20}
D9.C	Euro Stoxx Oil & Gas Continuation
D9H20	Euro Stoxx Oil & Gas {Mar 20}
D9M20	Euro Stoxx Oil & Gas {Jun 20}
D9U20	Euro Stoxx Oil & Gas {Sep 20}
DM	MDAX Index
DM.C	MDAX Index Continuation
DMH20	MDAX Index {Mar 20}
DMM20	MDAX Index {Jun 20}
DMU20	MDAX Index {Sep 20}
DO.C	Euro Stoxx Dividend Continuation
DOZ20	Euro Stoxx Dividend {Dec 20}
DOZ21	Euro Stoxx Dividend {Dec 21}
DOZ22	Euro Stoxx Dividend {Dec 22}
DOZ23	Euro Stoxx Dividend {Dec 23}
DOZ24	Euro Stoxx Dividend {Dec 24}
DOZ25	Euro Stoxx Dividend {Dec 25}
DOZ26	Euro Stoxx Dividend {Dec 26}
DOZ27	Euro Stoxx Dividend {Dec 27}
DOZ28	Euro Stoxx Dividend {Dec 28}
DOZ29	Euro Stoxx Dividend {Dec 29}
DV	VSTOXX Mini
DV.C	VSTOXX Mini Continuation
DVF20	VSTOXX Mini {Jan 20}
DVG20	VSTOXX Mini {Feb 20}
DVH20	VSTOXX Mini {Mar 20}
DVJ20	VSTOXX Mini {Apr 20}
DVK20	VSTOXX Mini {May 20}
DVM20	VSTOXX Mini {Jun 20}
DVN20	VSTOXX Mini {Jul 20}
DVQ20	VSTOXX Mini {Aug 20}
DY	DAX Index
DY.C	DAX Index Continuation
DYH20	DAX Index {Mar 20}
DYM20	DAX Index {Jun 20}
DYU20	DAX Index {Sep 20}
DZ.C	TECDAX Index Continuation
DZH20	TECDAX Index {Mar 20}
DZM20	TECDAX Index {Jun 20}
DZU20	TECDAX Index {Sep 20}
FA.C	Euro Stoxx Banks 600 Continuation
FAH20	Euro Stoxx Banks 600 {Mar 20}
FAM20	Euro Stoxx Banks 600 {Jun 20}
FAU20	Euro Stoxx Banks 600 {Sep 20}
FB.C	Stoxx Banks 600 Continuation
FBH20	Stoxx Banks 600 {Mar 20}
FBM20	Stoxx Banks 600 {Jun 20}
FBU20	Stoxx Banks 600 {Sep 20}
FM.C	Stoxx Mid 200 Continuation
FMH20	Stoxx Mid 200 {Mar 20}
FMM20	Stoxx Mid 200 {Jun 20}
FMU20	Stoxx Mid 200 {Sep 20}
FN.C	Euro OAT Continuation
FNH20	Euro OAT {Mar 20}
FNM20	Euro OAT {Jun 20}
FNU20	Euro OAT {Sep 20}
FO.C	Eurex 1Month EONIA Continuation
FOF20	Eurex 1Month EONIA {Jan 20}
FOH20	Eurex 1Month EONIA {Mar 20}
FOK20	Eurex 1Month EONIA {May 20}
FOM20	Eurex 1Month EONIA {Jun 20}
FON20	Eurex 1Month EONIA {Jul 20}
FP.C	OMX Helsinki 25 Continuation
FPH20	OMX Helsinki 25 {Mar 20}
FPM20	OMX Helsinki 25 {Jun 20}
FPU20	OMX Helsinki 25 {Sep 20}
FS.C	Stoxx 50 Continuation
FSH20	Stoxx 50 {Mar 20}
FSM20	Stoxx 50 {Jun 20}
FSU20	Stoxx 50 {Sep 20}
FU.C	Euro Stoxx 50 TR Continuation
FUH20	Euro Stoxx 50 TR {Mar 20}
FUH21	Euro Stoxx 50 TR {Mar 21}
FUH22	Euro Stoxx 50 TR {Mar 22}
FUH23	Euro Stoxx 50 TR {Mar 23}
FUH24	Euro Stoxx 50 TR {Mar 24}
FUH25	Euro Stoxx 50 TR {Mar 25}
FUM20	Euro Stoxx 50 TR {Jun 20}
FUM21	Euro Stoxx 50 TR {Jun 21}
FUM22	Euro Stoxx 50 TR {Jun 22}
FUM23	Euro Stoxx 50 TR {Jun 23}
FUM24	Euro Stoxx 50 TR {Jun 24}
FUU20	Euro Stoxx 50 TR {Sep 20}
FUU21	Euro Stoxx 50 TR {Sep 21}
FUU22	Euro Stoxx 50 TR {Sep 22}
FUU23	Euro Stoxx 50 TR {Sep 23}
FUU24	Euro Stoxx 50 TR {Sep 24}
FUZ20	Euro Stoxx 50 TR {Dec 20}
FUZ21	Euro Stoxx 50 TR {Dec 21}
FUZ22	Euro Stoxx 50 TR {Dec 22}
FUZ23	Euro Stoxx 50 TR {Dec 23}
FUZ24	Euro Stoxx 50 TR {Dec 24}
FUZ25	Euro Stoxx 50 TR {Dec 25}
FUZ26	Euro Stoxx 50 TR {Dec 26}
FUZ27	Euro Stoxx 50 TR {Dec 27}
FUZ28	Euro Stoxx 50 TR {Dec 28}
FUZ29	Euro Stoxx 50 TR {Dec 29}
FX	Euro Stoxx 50
FX.C	Euro Stoxx 50 Continuation
