Symbol	Description
A7.C	MSCI EMI Continuation
A7H20	MSCI EMI {Mar 20}
A7H21	MSCI EMI {Mar 21}
A7H22	MSCI EMI {Mar 22}
A7M20	MSCI EMI {Jun 20}
A7M21	MSCI EMI {Jun 21}
A7M22	MSCI EMI {Jun 22}
A7U20	MSCI EMI {Sep 20}
A7U21	MSCI EMI {Sep 21}
A7U22	MSCI EMI {Sep 22}
A7Z20	MSCI EMI {Dec 20}
A7Z21	MSCI EMI {Dec 21}
A7Z22	MSCI EMI {Dec 22}
A8.C	MSCI Far East ex-Japan Continuation
A8H20	MSCI Far East ex-Japan {Mar 20}
A8H21	MSCI Far East ex-Japan {Mar 21}
A8H22	MSCI Far East ex-Japan {Mar 22}
A8M20	MSCI Far East ex-Japan {Jun 20}
A8M21	MSCI Far East ex-Japan {Jun 21}
A8M22	MSCI Far East ex-Japan {Jun 22}
A8U20	MSCI Far East ex-Japan {Sep 20}
A8U21	MSCI Far East ex-Japan {Sep 21}
A8U22	MSCI Far East ex-Japan {Sep 22}
A8Z20	MSCI Far East ex-Japan {Dec 20}
A8Z21	MSCI Far East ex-Japan {Dec 21}
A8Z22	MSCI Far East ex-Japan {Dec 22}
AE	Wheat {Mar 13}
CA.C	No. 7 Cocoa Continuation
CAH20	No. 7 Cocoa {Mar 20}
CAH21	No. 7 Cocoa {Mar 21}
CAK20	No. 7 Cocoa {May 20}
CAK21	No. 7 Cocoa {May 21}
CAN20	No. 7 Cocoa {Jul 20}
CAN21	No. 7 Cocoa {Jul 21}
CAU20	No. 7 Cocoa {Sep 20}
CAU21	No. 7 Cocoa {Sep 21}
CAZ20	No. 7 Cocoa {Dec 20}
EG.C	EuroDollar Continuation
EGF20	EuroDollar {Jan 20}
EGG20	EuroDollar {Feb 20}
EGH20	EuroDollar {Mar 20}
EGH21	EuroDollar {Mar 21}
EGH22	EuroDollar {Mar 22}
EGH23	EuroDollar {Mar 23}
EGH24	EuroDollar {Mar 24}
EGH25	EuroDollar {Mar 25}
EGJ20	EuroDollar {Apr 20}
EGM20	EuroDollar {Jun 20}
EGM21	EuroDollar {Jun 21}
EGM22	EuroDollar {Jun 22}
EGM23	EuroDollar {Jun 23}
EGM24	EuroDollar {Jun 24}
EGU20	EuroDollar {Sep 20}
EGU21	EuroDollar {Sep 21}
EGU22	EuroDollar {Sep 22}
EGU23	EuroDollar {Sep 23}
EGU24	EuroDollar {Sep 24}
EGZ20	EuroDollar {Dec 20}
EGZ21	EuroDollar {Dec 21}
EGZ22	EuroDollar {Dec 22}
EGZ23	EuroDollar {Dec 23}
EGZ24	EuroDollar {Dec 24}
F.C	3-Month Euroswiss Continuation
F6.C	MSCI World NTR Index Continuation
F6H20	MSCI World NTR Index {Mar 20}
F6H21	MSCI World NTR Index {Mar 21}
F6H22	MSCI World NTR Index {Mar 22}
F6M20	MSCI World NTR Index {Jun 20}
F6M21	MSCI World NTR Index {Jun 21}
F6M22	MSCI World NTR Index {Jun 22}
F6U20	MSCI World NTR Index {Sep 20}
F6U21	MSCI World NTR Index {Sep 21}
F6U22	MSCI World NTR Index {Sep 22}
F6Z20	MSCI World NTR Index {Dec 20}
F6Z21	MSCI World NTR Index {Dec 21}
F6Z22	MSCI World NTR Index {Dec 22}
FH20	3-Month Euroswiss {Mar 20}
FH21	3-Month Euroswiss {Mar 21}
FH22	3-Month Euroswiss {Mar 22}
FH23	3-Month Euroswiss {Mar 23}
