Symbol	Description
A9H20	MSCI EAFE NTR Index {Mar 20}
A9H21	MSCI EAFE NTR Index {Mar 21}
A9M20	MSCI EAFE NTR Index {Jun 20}
A9U20	MSCI EAFE NTR Index {Sep 20}
A9Z20	MSCI EAFE NTR Index {Dec 20}
AFH20	MSCI USA Value {Mar 20}
AFH21	MSCI USA Value {Mar 21}
AFM20	MSCI USA Value {Jun 20}
AFU20	MSCI USA Value {Sep 20}
AFZ20	MSCI USA Value {Dec 20}
AMH20	MSCI EM Asia NTR {Mar 20}
AMH21	MSCI EM Asia NTR {Mar 21}
AMM20	MSCI EM Asia NTR {Jun 20}
AMU20	MSCI EM Asia NTR {Sep 20}
AMZ20	MSCI EM Asia NTR {Dec 20}
ANH20	MSCI Euro Index {Mar 20}
ANH21	MSCI Euro Index {Mar 21}
ANM20	MSCI Euro Index {Jun 20}
ANU20	MSCI Euro Index {Sep 20}
ANZ20	MSCI Euro Index {Dec 20}
AOH20	MSCI Pan-Euro Index {Mar 20}
AOH21	MSCI Pan-Euro Index {Mar 21}
AOM20	MSCI Pan-Euro Index {Jun 20}
AOU20	MSCI Pan-Euro Index {Sep 20}
AOZ20	MSCI Pan-Euro Index {Dec 20}
AR	Aussie/New Zealand
ARH20	Aussie/New Zealand {Mar 20}
ARM20	Aussie/New Zealand {Jun 20}
ARU20	Aussie/New Zealand {Sep 20}
ARZ20	Aussie/New Zealand {Dec 20}
AS	Aussie/Canadian
ASH20	Aussie/Canadian {Mar 20}
ASM20	Aussie/Canadian {Jun 20}
ASU20	Aussie/Canadian {Sep 20}
ASZ20	Aussie/Canadian {Dec 20}
AU	Australian Dollar
AUH20	Australian Dollar {Mar 20}
AUM20	Australian Dollar {Jun 20}
AUU20	Australian Dollar {Sep 20}
AUZ20	Australian Dollar {Dec 20}
CC	Cocoa
CCH20	Cocoa {Mar 20}
CCH21	Cocoa {Mar 21}
CCK20	Cocoa {May 20}
CCK21	Cocoa {May 21}
CCN20	Cocoa {Jul 20}
CCN21	Cocoa {Jul 21}
CCU20	Cocoa {Sep 20}
CCU21	Cocoa {Sep 21}
CCZ20	Cocoa {Dec 20}
CCZ21	Cocoa {Dec 21}
CT	Cotton #2
CTH20	Cotton #2 {Mar 20}
CTH21	Cotton #2 {Mar 21}
CTH22	Cotton #2 {Mar 22}
CTK20	Cotton #2 {May 20}
CTK21	Cotton #2 {May 21}
CTK22	Cotton #2 {May 22}
CTN20	Cotton #2 {Jul 20}
CTN21	Cotton #2 {Jul 21}
CTN22	Cotton #2 {Jul 22}
CTV20	Cotton #2 {Oct 20}
CTV21	Cotton #2 {Oct 21}
CTV22	Cotton #2 {Oct 22}
CTZ20	Cotton #2 {Dec 20}
CTZ21	Cotton #2 {Dec 21}
CTZ22	Cotton #2 {Dec 22}
DEH20	MSCI EMI Index {Mar 20}
DEH21	MSCI EMI Index {Mar 21}
DEH22	MSCI EMI Index {Mar 22}
DEM20	MSCI EMI Index {Jun 20}
DEM21	MSCI EMI Index {Jun 21}
DEM22	MSCI EMI Index {Jun 22}
DEU20	MSCI EMI Index {Sep 20}
DEU21	MSCI EMI Index {Sep 21}
DEU22	MSCI EMI Index {Sep 22}
DEZ20	MSCI EMI Index {Dec 20}
DEZ21	MSCI EMI Index {Dec 21}
DEZ22	MSCI EMI Index {Dec 22}
DIH20	MSCI EAFE Index {Mar 20}
DIH21	MSCI EAFE Index {Mar 21}
DIH22	MSCI EAFE Index {Mar 22}
DIM20	MSCI EAFE Index {Jun 20}
DIM21	MSCI EAFE Index {Jun 21}
DIM22	MSCI EAFE Index {Jun 22}
DIU20	MSCI EAFE Index {Sep 20}
DIU21	MSCI EAFE Index {Sep 21}
DIU22	MSCI EAFE Index {Sep 22}
DIZ20	MSCI EAFE Index {Dec 20}
DIZ21	MSCI EAFE Index {Dec 21}
DIZ22	MSCI EAFE Index {Dec 22}
